"","findspot_ancient_clean","n"
"249","Civitas Tribocorum",1
"250","Claudiopolis",1
"251","Colonia Claudia Augusta Agrippinensium, Divitia",1
"252","Colonia Claudia Augusta Agrippinensium?",1
"253","Colonia Clunia Sulpicia",1
"254","Colonia Iulia Augusta Diensis",1
"255","Colonia Iulia Augusta Philippensium (= Philippi)",1
"256","Complutum",1
"257","Comum",1
"258","Confluentes",1
"259","Coriovallum",1
"260","Cornacum",1
"261","Corstopitum",1
"262","Cuccium",1
"263","Cuppae",1
"264","Cusum",1
"265","Cyrene",1
"266","Durnomagus",1
"267","Durnovaria",1
"268","Dyrrachium",1
"269","Emporiae",1
"270","Epetium",1
"271","Epidaurum",1
"272","Epora",1
"273","Falerii (Novi)",1
"274","Fons Aponi",1
"275","Germanicum",1
"276","Gerulata",1
"277","Glevum",1
"278","Gorsium",1
"279","Halmyris",1
"280","Hatra",1
"281","Hispellum",1
"282","Ibida",1
"283","Ilerda",1
"284","Iluro",1
"285","Ituci Colonia Virtus Iulia",1
"286","Iuliomagus",1
"287","Lavatrae",1
"288","Lucentum",1
"289","Luceria",1
"290","Mago",1
"291","Margum",1
"292","Matrica",1
"293","Mellaria",1
"294","Mentesa Bastitanorum",1
"295","Micia",1
"296","Misenum",1
"297","Naissus",1
"298","Neapolis",1
"299","Nedinum",1
"300","Norba",1
"301","Obulcula",1
"302","Ocriculum",1
"303","Odessus",1
"304","Onnum",1
"305","Ossigi",1
"306","Ovilava",1
"307","Pax Iulia",1
"308","Perinthus",1
"309","Petavonium",1
"310","Phoebianae",1
"311","Pola",1
"312","Pompeii",1
"313","Pone Navata (= Ponte Navata)",1
"314","Pontes",1
"315","Porolissum",1
"316","Praetorium Agrippinae",1
"317","Promona",1
"318","Prusa",1
"319","Raetinium",1
"320","Ravenna",1
"321","Reii Apollinares",1
"322","Rigomagus",1
"323","Risinium",1
"324","Rusellae",1
"325","Sacili Martiale",1
"326","Salodurum",1
"327","Sami",1
"328","Samum",1
"329","Santicum",1
"330","Sarsina",1
"331","Scampa",1
"332","Scardona",1
"333","Securisca",1
"334","Segida Augurina",1
"335","Segobriga",1
"336","Senia",1
"337","Serdica",1
"338","Sicca Veneria",1
"339","Siculi",1
"340","Simitthus",1
"341","Sinuessa",1
"342","Sirra",1
"343","Solentia, insula",1
"344","Spoletium",1
"345","Stobi",1
"346","Sucidava",1
"347","Sulmo",1
"348","Syros",1
"349","Taliata",1
"350","Taurunum",1
"351","Tenos",1
"352","Theveste",1
"353","Tragurium",1
"354","Traiectum",1
"355","Tricornium",1
"356","Tridentum",1
"357","Troesmis; Cius",1
"358","Turris Libisonis",1
"359","Ucubi",1
"360","Ulia Fidentia",1
"361","Urso",1
"362","Utus",1
"363","Valeriana",1
"364","Venaxamodurum",1
"365","Vercovicium",1
"366","Vetoniana",1
"367","Vibo Valentia",1
"368","Vicus Scuttariensium",1
"369","Vindomora",1
"370","Volci",1
"371","Volubilis",1
