,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title,MachineGeocoded,PossiblePlacename1,Note,Source,Lat1,Long1,Certainty,SourceURL(e.g. Pleiades id number or URL),PossiblePlace2,Note,Lat2,Long2,Link_or_Ref
15519,HD010943/2,HD010943,Igabrensis+,Igabrensis,265919,,37.474155,-4.425943,Igabrum/Egabrum,,,,Pleiades,,,certain,,,,,,
15538,HD010949/1,HD010949,Badronensis*,Badronensis,256004,,38.501008,-5.14839,Baedro,,,,Pleiades,,,certain,,,,,,
15540,HD010952/1,HD010952,Patriciensis,Patriciensis,256128,,37.884683,-4.779171,Corduba/col. Patricia,,,,Pleiades,,,certain,,,,,,
15542,HD010952/3,HD010952,Patriciensis*,Patriciensis,256128,,37.884683,-4.779171,Corduba/col. Patricia,,,,Pleiades,,,certain,,,,,,
15556,HD010967/1,HD010967,Baedronensis+,Baedronensis,256004,,38.501008,-5.14839,Baedro,,,,Pleiades,,,certain,,,,,,
15562,HD010970/1,HD010970,Baedronensis,Baedronensis,256004,,38.501008,-5.14839,Baedro,,,,Pleiades,,,certain,,,,,,
15570,HD010985/1,HD010985,Baedronensis,Baedronensis,256004,,38.501008,-5.14839,Baedro,,,,Pleiades,,,certain,,,,,,
15571,HD010985/2,HD010985,Baedronensis,Baedronensis,256004,,38.501008,-5.14839,Baedro,,,,Pleiades,,,certain,,,,,,
15575,HD010988/1,HD010988,Baedronensis,Baedronensis,256004,,38.501008,-5.14839,Baedro,,,,Pleiades,,,certain,,,,,,
15576,HD010988/2,HD010988,Baedronensis,Baedronensis,256004,,38.501008,-5.14839,Baedro,,,,Pleiades,,,certain,,,,,,
15596,HD011009/1,HD011009,Mellariensis+,Mellariensis,256293,,36.066459,-5.683253,Mellaria,,Mellaria,,Pleiades,38.2945642,-5.3399481,uncertain (another good variant exists),https://pleiades.stoa.org/places/256292,,,,,
15642,HD011189/1,HD011189,cives (= civis) Trever,Trever,109390,,49.75356779,6.379439164,Treveri,Y,,,Pleiades,,,certain,,,,,,
15650,HD011195/1,HD011195,Agrippinensis*,Agrippinensis,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,certain,,,,,,
15655,HD011199/1,HD011199,domo Sidone*,Sidone,678393,,33.560328,35.37324,Sidon/Col. Aurelia Pia,,,,Pleiades,,,certain,,,,,,
15660,HD011202/1,HD011202,domo Augusta,Augusta,648577,"['Augusta', 'Augustopolis', '[Thebae]']",37.245212,35.344087,Augusta/Augustopolis/[Thebae]?,Y,,,Pleiades,,,certain,,,,,,
15662,HD011205/1,HD011205,Corduba*,Corduba,256128,"['Corduba', 'Col. Patricia']",37.884683,-4.779171,Corduba/Col. Patricia,Y,,,Pleiades,,,certain,,,,,,
15673,HD011219/1,HD011219,cives Secuanus (= Sequanus),Sequanus,991338,,47.5,7.5,Sequania,,,,Pleiades,,,certain,,,,,,
15679,HD011228/1,HD011228,cives (= civis) Trever,Trever,109390,,49.75356779,6.379439164,Treveri,Y,,,Pleiades,,,certain,,,,,,
15680,HD011229/1,HD011229,Cantaber*?,Cantaber,59664,,31.29346512,72.53879441,Akesinos/Sandabal (River),,,,Pleiades,,,wild guess,,,,,,
15682,HD011230/1,HD011230,Osquensis,Osquensis,265805,,36.88614,-4.540804,Ascua/Osqua,,,,Pleiades,,,certain,,,,,,
15692,HD011236/1,HD011236,natione Germanus*,Germanus,20468,,52.5,7.5,Germania,,,,Pleiades,,,certain,,,,,,
15696,HD011238/1,HD011238,Trevero,Trevero,109390,,49.75356779,6.379439164,Treveri,,,,Pleiades,,,certain,,,,,,
15715,HD011243/1,HD011243,Ganuenta*?,Ganuenta,109000,,51.598973,3.846162,*Ganuenta?,,,,Pleiades,,,certain,,,,,,
15716,HD011245/1,HD011245,Iporcensis*,Iporcensis,256227,,37.747647,-5.639549,Iporca,,,,Pleiades,,,certain,,,,,,
15778,HD011288/1,HD011288,civis Dunnonia,civis Dunnonia,79430,,50.61713086,-4.267465548,Dumnonii,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
15819,HD011311/1,HD011311,domo+ Flavia* Sirmio+,Flavia Sirmio,383781,,45.492485,10.60805,Sirmio,,,,Pleiades,,,certain,,,,,,
15864,HD011348/1,HD011348,Ticino*,Ticino,383799,,45.1803284,9.1552338,Ticinus (River),,Ticinum,,Pleiades,45.185899,9.156562,uncertain (another good variant exists),https://pleiades.stoa.org/places/383798,,,,,
15869,HD011351/1,HD011351,Vicetia*,Vicetia,393513,['Vicetia'],45.545773,11.540277,Vicetia,Y,,,Pleiades,,,certain,,,,,,
15877,HD011357/1,HD011357,Verona*,Verona,383816,['Verona'],45.44212955,10.99573601,Verona,Y,,,Pleiades,,,certain,,,,,,
16002,HD011457/1,HD011457,domo Agrippina*,Agrippina,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
16034,HD011480/3,HD011480,domo* Albanopoli*,Albanopoli,481711,,41.512333,19.792561,Albanopolis,,,,Pleiades,,,certain,,,,,,
16039,HD011485/1,HD011485,Batavos (= Batavus),Batavus,118590,,48.573506,13.463921,Batavi,,,,Pleiades,,,certain,,,,,,
16167,HD011578/1,HD011578,civis Aedessitanus* (= Edessitanus*),Edessitanus,658457,,37.148633,38.786696,Edessa/Antiochia ad Callirhoem,,,,Pleiades,,,certain,,,,,,
16180,HD011587/1,HD011587,Eraviscus+*,Eraviscus,197265,,47.20376654,18.57571971,Eravisci,,,,Pleiades,,,certain,,,,,,
16183,HD011590/1,HD011590,natione+* [---] domo+ Galatia Ancyra+,[---] Galatia Ancyra,619103,,39.9437925,32.859333,Ancyra,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
16241,HD011629/1,HD011629,Dertona*,Dertona,383633,['Dertona'],44.897171,8.865452,Dertona,Y,,,Pleiades,,,certain,,,,,,
16360,HD011852/1,HD011852,Ipscensis*,Ipscensis,265937,,37.67242,-4.39041,Ipsca,,,,Pleiades,,,certain,,,,,,
16425,HD012037/3,HD012037,domo+? [---]nia,[---]nia,,,,,,,,Adela Review,,,,,,,,,,
16441,HD012065/1,HD012065,Mirobrigensis*,Mirobrigensis,236546,,40.597188,-6.52277,Mirobriga,,Mirobriga,,Pleiades,38.009689,-8.683817,uncertain (another good variant exists),https://pleiades.stoa.org/places/256303,,,,,
16444,HD012068/1,HD012068,Mirobrigensis*,Mirobrigensis,236546,,40.597188,-6.52277,Mirobriga,,Mirobriga,,Pleiades,38.009689,-8.683817,uncertain (another good variant exists),https://pleiades.stoa.org/places/256303,,,,,
16446,HD012079/1,HD012079,Gla(---),Gla(---),157861,['Glanate'],43.946703,6.841592,Glanate,,,No other town starting with Gla in the database. So guess it is Glanate,Pleiades,,,wild guess,,,,,,
16459,HD012100/1,HD012100,Eraviscus,Eraviscus,197265,,47.20376654,18.57571971,Eravisci,,,,Pleiades,,,certain,,,,,,
16537,HD012199/1,HD012199,Ulpia+ Noviomagi+,Ulpia Noviomagi,98921,,51.84167,5.858672,Batavodurum/(Ulpia) Noviomagus,,,,Pleiades,,,certain,,,,,,
16600,HD012298/1,HD012298,ex vico Vorovo Minore,vico Vorovo Minore,207563,,43.30463,23.421135,Vorovum Minor,,,,Pleiades,,,certain,,,,,,
16607,HD012303/1,HD012303,Murgiae Risinitano,Murgiae Risinitano,197471,,42.514718,18.694988,Rhizon/Risinium,,,,Pleiades,,,certain,,,,,,
16618,HD012310/2,HD012310,Antiochian* (= Antiochia*),Antiochia,912872,"['Jebel Khayabir', 'Alexandria', 'Antiochia', 'Spasinou Charax', 'Karkh Maisan', '[Astarabad Ardashir]']",30.719479,47.561886,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?,Y,,,Pleiades,,,uncertain (another good variant exists),,,,,,
16635,HD012321/1,HD012321,Oesci,Oesci,216907,,43.70403,24.4738875,Oescus,,,,Pleiades,,,certain,,,,,,
16670,HD012354/1,HD012354,domo* Sirmio*,Sirmio,383781,['Sirmio'],45.492485,10.60805,Sirmio,Y,,,Pleiades,,,certain,,,,,,
16681,HD012375/1,HD012375,domo Claudia* Viruno,Claudia Viruno,197583,,46.6996149,14.3647773,Virunum,,,,Pleiades,,,certain,,,,,,
16780,HD012552/1,HD012552,Treverus,Treverus,109390,,49.75356779,6.379439164,Treveri,,,,Pleiades,,,certain,,,,,,
16783,HD012554/2,HD012554,ex provincia* [---],provincia [---],,,,,,,,Adela Review,,,,,,,,,,
16787,HD012557/1,HD012557,Celeia+*?,Celeia,197206,['Celeia'],46.219721,15.27184,Celeia,Y,,,Pleiades,,,certain,,,,,,
16908,HD012680/1,HD012680,Celeiae,Celeiae,197206,,46.219721,15.27184,Celeia,,,,Pleiades,,,certain,,,,,,
16939,HD012719/3,HD012719,Sentino*,Sentino,413312,,43.427013,12.855963,Sentinum,,,,Pleiades,,,certain,,,,,,
16944,HD012731/1,HD012731,domo Cappadocia+*,Cappadocia,628949,['Cappadocia'],39.25,35.75,Cappadocia (region),Y,,,Pleiades,,,certain,,,,,,
17044,HD013168/1,HD013168,Namnis,Namnis,236559,,43.111372,-4.406194,Namnasa (River),,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
17087,HD013257/1,HD013257,Mogetianae*,Mogetianae,197381,,47.118283,17.314149,Moge(n)tiana,,,,Pleiades,,,certain,,,,,,
17184,HD013522/1,HD013522,Viennae*,Viennae,128537,,48.211345,16.373946,Vindobona,,Col. Vienna,,Pleiades,45.5245105,4.875982,uncertain (another good variant exists),https://pleiades.stoa.org/places/167719,,,,,
17277,HD013721/1,HD013721,Gemenelo (= Cemenelum),Cemenelum,157834,['Cemenelum'],43.7194725,7.2758295,Cemenelum,Y,,,Pleiades,,,certain,,,,,,
17280,HD013835/1,HD013835,natus Starve,Starve,-3.690755,,45.029113,35.088723,Staryy Krym,,,,Pleiades,,,wild guess,,,,,,
17575,HD014162/1,HD014162,Pannonici+,Pannonici,1001905,,47.5,17.5,Pannonia,,,,Pleiades,,,certain,,,,,,
17581,HD014199/1,HD014199,Arsitanus,Arsitanus,197142,,45.0354158,14.0467894,Arsia (River),,Auci,,Pleiades,41.220893,-0.443911,wild guess,246207,,,,,
17594,HD014254/1,HD014254,de vico Clablo*,de vico Clablo,648674,,36.95580687,32.57331392,Klabene,,,,Pleiades,,,wild guess,,,,,,
17615,HD014357/1,HD014357,Verona*,Verona,383816,['Verona'],45.44212955,10.99573601,Verona,Y,,,Pleiades,,,certain,,,,,,
17618,HD014366/1,HD014366,[---]iensis?,[---]iensis?,,,,,,,,Adela Review,,,,,,,,,,
17707,HD014560/1,HD014560,Arsensis*?,Arsensis,570115,,37.75,21.75,Arsen (River),,,,Pleiades,,,certain,,,,,,
17740,HD014597/1,HD014597,natione Tunger,Tunger,109397,,50.60295676,5.405580838,Tungri,,,,Pleiades,,,certain,,,,,,
17801,HD014660/1,HD014660,Delmata,Delmata,197243,,43.68609093,16.79639644,Delmatae,,,,Pleiades,,,certain,,,,,,
17824,HD014696/1,HD014696,domo Eporedia*,Eporedia,383642,['Eporedia'],45.466604,7.875942,Eporedia,Y,,,Pleiades,,,certain,,,,,,
17842,HD014803/1,HD014803,civis Sequanus,Sequanus,991338,,47.5,7.5,Sequania,,,,Pleiades,,,certain,,,,,,
17889,HD014851/1,HD014851,domo+* Mursa+,Mursa,197389,['Mursa'],45.560018,18.675749,Mursa,Y,,,Pleiades,,,certain,,,,,,
17897,HD014857/1,HD014857,Viruno*,Viruno,197583,,46.6996149,14.3647773,Virunum,Y,,,Pleiades,,,certain,,,,,,
17908,HD014875/1,HD014875,Aquileia*,Aquileia,187290,['Aquileia'],45.768945,13.3677735,Aquileia,Y,,,Pleiades,,,certain,,,,,,
17956,HD014974/1,HD014974,domo*? Roma*?,Roma,423025,['Roma'],41.891775,12.486137,Roma,Y,,,Pleiades,,,certain,,,,,,
18014,HD015039/1,HD015039,Tyanensi ex Cappadocia,Tyanensi Cappadocia,648801,,37.82365,34.572513,Tyana/Col. Aurelia Antoniniana,,Tyana/Dana?,First option most likely.,Pleiades,37.520926,34.564162,certain,https://pleiades.stoa.org/places/648802,,,,,
18029,HD015051/5,HD015051,Delmatae*,Delmatae,197243,['Delmatae'],43.68609093,16.79639644,Delmatae,Y,,,Pleiades,,,certain,,,,,,
18031,HD015051/7,HD015051,Delmatae*,Delmatae,197243,['Delmatae'],43.68609093,16.79639644,Delmatae,Y,,,Pleiades,,,certain,,,,,,
18094,HD015380/1,HD015380,Ilurconensis,Ilurconensis,265930,,37.267154,-3.767231,Ilurco,,,,Pleiades,,,certain,,,,,,
18113,HD015489/2,HD015489,Cordubensis,Cordubensis,256128,,37.884683,-4.779171,Corduba/Col. Patricia,,,,Pleiades,,,certain,,,,,,
18138,HD015577/1,HD015577,natus+ ex+ regione+ Ankyra+ Galatia+,Ankyra Galatia,609305,,39.1558245,28.8550855,Ankyra,,,,Pleiades,,,certain,,,,,,
18146,HD015603/1,HD015603,Gilitanus,Gilitanus,314965,,36.477401,10.88568739,Gillium,,,,Pleiades,,,wild guess,,,,,,
18148,HD015612/1,HD015612,[Ar]retio,[Ar]retio,413032,,43.471274,11.863048,Arretium,,,,Pleiades,,,certain,,,,,,
18153,HD015624/1,HD015624,Nicopoli+ ex prov+* Trhacia+*,Nicopoli prov Trhacia,501525,,41.59620026,23.79580398,Nicopolis ad Nestum/Ulpia Nicopolis,,,,Pleiades,,,certain,,,,,,
18177,HD015841/1,HD015841,Patavio,Patavio,393473,,45.409561,11.876975,Patavium,,,,Pleiades,,,certain,,,,,,
18206,HD015955/1,HD015955,Tusculas+ (=Tusculanus) / Ῥωμαῖος+,Tusculas+ (=Tusculanus) / Ῥωμαῖος+,423108,,41.798284,12.710316,Tusculum,,,,Pleiades,,,uncertain (another good variant exists),,,,,,
18220,HD015986/1,HD015986,Aequum+,Aequum,197095,['Aequum'],43.739278,16.655704,Aequum,Y,,,Pleiades,,,certain,,,,,,
18236,HD016025/1,HD016025,Veleias (= Veleia),Veleia,383811,['Veleia'],44.78529,9.72159425,Veleia,Y,,,Pleiades,,,certain,,,,,,
18293,HD016073/1,HD016073,Iuvavo*,Iuvavo,187432,,47.7991735,13.0455165,Iuvavum,,,,Pleiades,,,certain,,,,,,
18430,HD016237/1,HD016237,ex provincia* Italia*,provincia Italia,1052,,43.6941505,11.0949512,Italia,,,,Pleiades,,,certain,,,,,,
18452,HD016255/1,HD016255,domo* Hierapytna*,Hierapytna,589807,['Hierapytna'],35.0095285,25.7387505,Hierapytna,Y,,,Pleiades,,,certain,,,,,,
18478,HD016276/3,HD016276,Ulpia* Sercica*,Ulpia Sercica,207439,,42.722826,23.342891,Serdica,,,An ancient spelling error?,Pleiades,,,wild guess,,,,,,
18491,HD016280/1,HD016280,Gal(---),Gal(---),992075,,47.5,-2.5,Galliae,,Galata,Either or would be a good guess,Pleiades,43.170087,27.938903,wild guess,https://pleiades.stoa.org/places/216814,,,,,
18497,HD016283/1,HD016283,domo Horrei! Margensis!,Horrei Margensis,207173,,43.927174,21.3836,Horeum Margi,,,,Pleiades,,,certain,,,,,,
18644,HD016483/2,HD016483,civis Surus+ ex+ regione Cirro vico [---],Surus  Cirro vico [---],236430,,42.824338,-8.670452,Cirro,,,,Pleiades,,,wild guess,,,,,,
18645,HD016492/1,HD016492,Claudia* Savaria+,Claudia Savaria,197498,,47.235142,16.62192,Savaria,,,,Pleiades,,,certain,,,,,,
18655,HD016504/1,HD016504,natione* Graecus,Graecus,1001896,,37.5,22.5,Hellas,,,"Here guessing They mean Greek, but cannot find a suitable region in database, so have used Hellas. Not precise.",Pleiades,,,uncertain (name could be interpreted differently),,,,,,
18660,HD016507/1,HD016507,verna Placentinus*,Placentinus,383741,,45.0525855,9.6976645,Placentia,,,,Pleiades,,,certain,,,,,,
18662,HD016510/1,HD016510,verna* Alexandrinus*,Alandrinus,614587,,,,Alandrus,,Alexandria,,Pleiades,31.201435,29.909773,uncertain (another good variant exists),https://pleiades.stoa.org/places/727070,,,,,
18668,HD016519/2,HD016519,natione Hispanus,Hispanus,530036687,,40,-5,Hispania Citerior (Province),,,,Pleiades,,,certain,,,,,,
18674,HD016531/2,HD016531,natione* Gallus*,Gallus,992075,,47.5,-2.5,Galliae,,,,Pleiades,,,certain,,,,,,
18677,HD016573/1,HD016573,verna Romanus*,Romanus,423025,,41.891775,12.486137,Roma,,,,Pleiades,,,certain,,,,,,
18702,HD016633/1,HD016633,domo Thracia*,Thracia,501638,['Thracia'],41.51783037,26.9624138,Thracia,Y,,,Pleiades,,,certain,,,,,,
18706,HD016642/1,HD016642,Ancora (= Ancyra),Ancyra,619103,['Ancyra'],39.9437925,32.859333,Ancyra,Y,,,Pleiades,,,certain,,,,,,
18821,HD016786/1,HD016786,Agrippiniensi+*,Agrippiniensi,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,certain,,,,,,
18878,HD016886/1,HD016886,oriundus ab Aquis,oriundus ab Aquis,933005071,,41.9743009,-7.9804677,Aquis Querquennis,,Aquae Segetae,,Pleiades,48.11546425,2.6222216,wild guess,109330,,,,,
18900,HD016934/2,HD016934,[---]en[sis?],[---]en[sis],,,,,,,,Adela Review,,,,,,,,,,
18902,HD016936/1,HD016936,domo Philodelphia+* (Phildelphia+*),Philodelphia (Phildelphia),737008,,29.453786,31.08033,Philadelphia,,Philadelpheia,,Pleiades,38.35037355,28.516621,uncertain (another good variant exists),https://pleiades.stoa.org/places/550822,Philadelpheia?,,36.622766,33.0250915,https://pleiades.stoa.org/places/648736
18908,HD016939/1,HD016939,natione* Pannonius+*,Pannonius,1001905,,47.5,17.5,Pannonia,,,,Pleiades,,,certain,,,,,,
18913,HD016942/1,HD016942,Placentia*,Placentia,383741,['Placentia'],45.0525855,9.6976645,Placentia,Y,,,Pleiades,,,certain,,,,,,
19005,HD017173/1,HD017173,Celeia+,Celeia,197206,['Celeia'],46.219721,15.27184,Celeia,Y,,,Pleiades,,,certain,,,,,,
19066,HD017245/1,HD017245,Forensis,Forensis,438738,,,,Forensis Pagus,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
19175,HD017350/24,HD017350,[---]es(---),[---]es(---),,,,,,,,Adela Review,,,,,,,,,,
19294,HD017350/143,HD017350,[---]i(---),[---]i(---),,,,,,,,Adela Review,,,,,,,,,,
19174,HD017350/23,HD017350,[---]nd(---),[---]nd(---),,,,,,,,Adela Review,,,,,,,,,,
19290,HD017350/139,HD017350,[---]r(---)?,[---]r(---),,,,,,,,Adela Review,,,,,,,,,,
19293,HD017350/142,HD017350,[---]r(---),[---]r(---),,,,,,,,Adela Review,,,,,,,,,,
19154,HD017350/3,HD017350,A[---],A[---],,,,,,,,Adela Review,,,,,,,,,,
19178,HD017350/27,HD017350,Aequo*,Aequo,197095,,43.739278,16.655704,Aequum,,,what is the findspot - is this Aequo Dalmatiae like below?,Pleiades,,,certain,,,,,,
19241,HD017350/90,HD017350,Afer,Afer,775,,32.5,7.5,Africa (region),,,,Pleiades,,,certain,,,,,,
19163,HD017350/12,HD017350,Agrippina*,Agrippina,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
19167,HD017350/16,HD017350,Agrippina+*,Agrippina,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
19176,HD017350/25,HD017350,Agrippina+*?,Agrippina,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
19182,HD017350/31,HD017350,Agrippina*,Agrippina,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
19183,HD017350/32,HD017350,Agrippina*,Agrippina,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
19184,HD017350/33,HD017350,Agrippina*,Agrippina,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
19185,HD017350/34,HD017350,Agrippina*,Agrippina,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
19188,HD017350/37,HD017350,Agrippina+*,Agrippina,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
19191,HD017350/40,HD017350,Agrippina*,Agrippina,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
19222,HD017350/71,HD017350,Agrippinensis*,Agrippinensis,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,certain,,,,,,
19226,HD017350/75,HD017350,Agrippinensis*,Agrippinensis,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,certain,,,,,,
19235,HD017350/84,HD017350,Agrippinensis*,Agrippinensis,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,certain,,,,,,
19237,HD017350/86,HD017350,Agrippinensis*,Agrippinensis,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,certain,,,,,,
19249,HD017350/98,HD017350,Agrippinensis*,Agrippinensis,108751,,50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium,,,,Pleiades,,,certain,,,,,,
19186,HD017350/35,HD017350,Alba,Alba,246153,['Alba'],42.856039,-2.290949,Alba,Y,,,Pleiades,,,certain,,,,,,
19239,HD017350/88,HD017350,Batavus*,Batavus,118590,,48.573506,13.463921,Batavi,,,,Pleiades,,,certain,,,,,,
19250,HD017350/99,HD017350,Batavus*,Batavus,118590,,48.573506,13.463921,Batavi,,,,Pleiades,,,certain,,,,,,
19212,HD017350/61,HD017350,Bellovacus*,Bellovacus,108803,,49.50264525,1.981007068,Bellovaci,,,,Pleiades,,,certain,,,,,,
19195,HD017350/44,HD017350,Bo[---],Bo[---],,,,,,,,Adela Review,,,,,,,,,,
19243,HD017350/92,HD017350,Britto*,Britto,981513,,51.513335,-0.088949,Britannia (Province),,,,Pleiades,,,certain,,,,,,
19219,HD017350/68,HD017350,Cannanefas*,Cannanefas,98918,,52.0602193,4.3486726,Aurelium Cananefatium/Forum Hadriani,,,,Pleiades,,,certain,,,,,,
19224,HD017350/73,HD017350,Cas(---),Cas(---),,,,,,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
19169,HD017350/18,HD017350,Celeia*,Celeia,197206,['Celeia'],46.219721,15.27184,Celeia,Y,,,Pleiades,,,certain,,,,,,
19158,HD017350/7,HD017350,Cemenelo+*,Cemenelo,157834,,43.7194725,7.2758295,Cemenelum,,,,Pleiades,,,certain,,,,,,
19166,HD017350/15,HD017350,Cemenelo*,Cemenelo,157834,,43.7194725,7.2758295,Cemenelum,,,,Pleiades,,,certain,,,,,,
19157,HD017350/6,HD017350,Clunia*,Clunia,187350,['Clunia'],47.260687,9.617966,Clunia,Y,,,Pleiades,,,certain,,,,,,
19153,HD017350/2,HD017350,colonia+* Pompeiis* domicilio* Neapoli* Italiae,colonia Pompeiis domicilio Neapoli Italiae,433032,,40.74941,14.485429,Pompeii,,,,Pleiades,,,uncertain (another good variant exists),,,,,,
19170,HD017350/19,HD017350,Dertona*,Dertona,383633,['Dertona'],44.897171,8.865452,Dertona,Y,,,Pleiades,,,certain,,,,,,
19165,HD017350/14,HD017350,Foro* Iulii*,Foro Iulii,157836,,43.4328295,6.7360345,Col. Forum Iulii,,Forum Iulii,,Pleiades,46.091866,13.4333385,uncertain (another good variant exists),https://pleiades.stoa.org/places/187386,Iliturgi,,37.968343,-3.80883,https://pleiades.stoa.org/places/265924
19155,HD017350/4,HD017350,Hadria*,Hadria,413163,,42.5802,13.981081,Hatria (Picenum),,,,Pleiades,,,certain,,,,,,
19180,HD017350/29,HD017350,Heraclea+*,Heraclea,844944,['Heraclea'],41.28325533,31.41741367,Heraclea,Y,,,Pleiades,,,certain,,,,,,
19160,HD017350/9,HD017350,Hore(---),Hore(---),207173,,43.927174,21.3836,Horeum Margi,,,,Pleiades,,,wild guess,,,,,,
19164,HD017350/13,HD017350,Iuvavo*,Iuvavo,187432,,47.7991735,13.0455165,Iuvavum,,,,Pleiades,,,certain,,,,,,
19192,HD017350/41,HD017350,Iuvavo*,Iuvavo,187432,,47.7991735,13.0455165,Iuvavum,,,,Pleiades,,,certain,,,,,,
19194,HD017350/43,HD017350,Iuvavo+*?,Iuvavo,187432,,47.7991735,13.0455165,Iuvavum,,,,Pleiades,,,certain,,,,,,
19220,HD017350/69,HD017350,Lexovius*,Lovius,109110,,48.88931476,0.2433883954,Lexovii,,,,Pleiades,,,certain,,,,,,
19247,HD017350/96,HD017350,Lucensius*,Lucensius,265954,,38.36461817,-0.4388034628,Lucentum,,,,Pleiades,,,certain,,,,,,
19228,HD017350/77,HD017350,Lusitanus*,Lusitanus,236528,,40.5,-7.5,Lusitani,,,,Pleiades,,,certain,,,,,,
19245,HD017350/94,HD017350,Lusitanus*,Lusitanus,236528,,40.5,-7.5,Lusitani,,,,Pleiades,,,certain,,,,,,
19230,HD017350/79,HD017350,Nervius*,Nervius,109199,,50.77749359,4.084768414,Nervii,,,,Pleiades,,,certain,,,,,,
19168,HD017350/17,HD017350,Nicia* (= Nicaea*),Nicaea,157894,['Nicaea'],43.703436,7.266233,Nicaea,Y,,,Pleiades,,,certain,,,,,,
19218,HD017350/67,HD017350,Noricus*,Noricus,187490,,46.724573,14.4296085,Noricum (region),,,,Pleiades,,,certain,,,,,,
19159,HD017350/8,HD017350,Pollentia*,Pollentia,266004,['Pollentia'],39.84859314,3.123058901,Pollentia,Y,,,Pleiades,,,certain,,,,,,
19187,HD017350/36,HD017350,Pollentia*,Pollentia,266004,['Pollentia'],39.84859314,3.123058901,Pollentia,Y,,,Pleiades,,,certain,,,,,,
19214,HD017350/63,HD017350,Raetus*,Raetus,187523,,47.727498,10.326578,Raetia,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
19161,HD017350/10,HD017350,Roma,Roma,423025,['Roma'],41.891775,12.486137,Roma,Y,,,Pleiades,,,certain,,,,,,
19179,HD017350/28,HD017350,Roma*,Roma,423025,['Roma'],41.891775,12.486137,Roma,Y,,,Pleiades,,,certain,,,,,,
19156,HD017350/5,HD017350,Segusio*,Segusio,148198,['Segusio'],44.176801,4.274308,Segusio?,Y,,,Pleiades,,,certain,,,,,,
19216,HD017350/65,HD017350,Tunger*,Tunger,109397,,50.60295676,5.405580838,Tungri,,,,Pleiades,,,certain,,,,,,
19232,HD017350/81,HD017350,Tunger*,Tunger,109397,,50.60295676,5.405580838,Tungri,,,,Pleiades,,,certain,,,,,,
19234,HD017350/83,HD017350,Tunger*,Tunger,109397,,50.60295676,5.405580838,Tungri,,,,Pleiades,,,certain,,,,,,
19171,HD017350/20,HD017350,V[---],V[---],,,,,,,,Adela Review,,,,,,,,,,
