,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title,MachineGeocoded,PossiblePlacename1,Note,Source,Lat1,Long1,Certainty,SourceURL(e.g. Pleiades id number or URL),PossiblePlace2,Note,Lat2,Long2,Link_or_Ref
1660,HD000703/4,HD000703,Eraviscus*,Eraviscus,197265,,47.20376654,18.57571971,Eravisci,,,,Pleiades,,,certain,,,,,,
1680,HD000709/8,HD000709,Canac(---)?,Canac(---),260574,,,,Kanaka,,,,Pleiades,,,wild guess,,,,,,
1678,HD000709/6,HD000709,Eraviscus*,Eraviscus,197265,,47.20376654,18.57571971,Eravisci,,,,Pleiades,,,certain,,,,,,
2053,HD000799/1,HD000799,domo Tigullis exs (= ex) Liguria,Tigullis Liguria,383775,,44.273159,9.396776,Segeste Tigulliorum,,,,Pleiades,,,certain,,,,,,
2121,HD000838/1,HD000838,Autrico*,Autrico,108778,,48.445658,1.4856175,Autricum,,,,Pleiades,,,certain,,,,,,
2187,HD000871/1,HD000871,Colonia Ulpia Sermizegetusa (= Sarmizegetusa),Colonia Ulpia Sarmizegetusa,207527,,45.5147445,22.7852665,Ulpia Traiana Sarmizegetusa,,,,Pleiades,,,certain,,,,,,
2244,HD000899/1,HD000899,Herculaneus*,Herculaneus,438749,,,,Herculanus/Herculani Pagus,,,,Pleiades,,,certain,,,,,,
2301,HD000929/1,HD000929,Viruni,Viruni,197583,,46.6996149,14.3647773,Virunum,Y,,,Pleiades,,,certain,,,,,,
2323,HD000946/1,HD000946,[---]ria,[---]ria,,,,,,,,Adela Review,,,,,,,,,,
2329,HD000950/1,HD000950,Anaunensis*,Anaunensis,187283,,46.315249,11.04805,Anaunion,,,,Pleiades,,,certain,,,,,,
2352,HD000964/1,HD000964,domo* Numidia+,Numidia,305120,['Numidia'],36.46861289,6.604286436,Numidia (region),Y,,,Pleiades,,,certain,,,,,,
2411,HD000976/1,HD000976,Stobi,Stobi,491731,['Stobi'],41.55232927,21.97440096,Stobi,Y,,,Pleiades,,,certain,,,,,,
2468,HD001007/1,HD001007,domo Roma,Roma,423025,['Roma'],41.891775,12.486137,Roma,Y,,,Pleiades,,,certain,,,,,,
2625,HD001061/1,HD001061,Foro Iulio,Foro Iulio,157836,,43.4328295,6.7360345,Col. Forum Iulii,,Forum Iulii,,Pleiades,46.091866,13.4333385,uncertain (another good variant exists),https://pleiades.stoa.org/places/187386,Iliturgi,,37.968343,-3.80883,https://pleiades.stoa.org/places/265924
2632,HD001064/1,HD001064,Stobi,Stobi,491731,['Stobi'],41.55232927,21.97440096,Stobi,Y,,,Pleiades,,,certain,,,,,,
2637,HD001067/1,HD001067,Flanona*,Flanona,197272,['Flanona'],45.1377845,14.1764485,Flanona,Y,,,Pleiades,,,certain,,,,,,
2659,HD001089/1,HD001089,Sarmizegetusa*,Sarmizegetusa,207425,['Sarmizegetusa'],45.669615,23.323961,Sarmizegetusa (Regia),Y,,,Pleiades,,,certain,,,,,,
2679,HD001107/1,HD001107,Lemava | Eritaeco,Lemava Eritaeco,236514,,42.55126699,-7.57325954,Levami,,,,Pleiades,,,certain,,,,,,
2681,HD001107/3,HD001107,Lemavus | Eritaeco*,Lemavus Eritaeco,236514,,42.55126699,-7.57325954,Levami,,,,Pleiades,,,certain,,,,,,
2713,HD001124/1,HD001124,Pelagonia+*,Pelagonia,481952,['Pelagonia'],41.313278,21.610691,Pelagonia,Y,,,Pleiades,,,certain,,,,,,
2738,HD001140/1,HD001140,Vadiniensis*,Vadiniensis,236707,,43.08489112,-5.06492561,Vadinienses,,,,Pleiades,,,certain,,,,,,
2739,HD001140/2,HD001140,Vadiniensis*,Vadiniensis,236707,,43.08489112,-5.06492561,Vadinienses,,,,Pleiades,,,certain,,,,,,
2740,HD001140/3,HD001140,Vadiniensis*,Vadiniensis,236707,,43.08489112,-5.06492561,Vadinienses,,,,Pleiades,,,certain,,,,,,
2741,HD001140/4,HD001140,Vadiniensis*,Vadiniensis,236707,,43.08489112,-5.06492561,Vadinienses,,,,Pleiades,,,certain,,,,,,
2747,HD001143/1,HD001143,Vadiniensis*,Vadiniensis,236707,,43.08489112,-5.06492561,Vadinienses,,,,Pleiades,,,certain,,,,,,
2874,HD001200/1,HD001200,Segusiavus,Segusiavus,167771,,45.743773,4.222007,Forum Segusiavorum,,,,Pleiades,,,certain,,,,,,
3021,HD001276/1,HD001276,Elusatis,Elusatis,246380,,43.861601,0.102529,Elusa,,,,Pleiades,,,certain,,,,,,
3026,HD001280/1,HD001280,Perusia+?,Perusia,413248,['Perusia'],43.111192,12.3899085,Perusia,Y,,,Pleiades,,,certain,,,,,,
3065,HD001300/1,HD001300,Surus*,Surus,678437,,33.2698475,35.2038435,Tyrus/Col. Septimia Severa,,,"Could also just mean ""person from the South""?",Pleiades,,,certain,,,,,,
3102,HD001321/1,HD001321,Civis Nemes,Nemes,167852,,44.22458627,6.733589748,Nemeturii,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
3107,HD001324/1,HD001324,natione Armenius,Armenius,981507,,37.5,42.5,Armenia (Roman province),,Armenia (Region),,Pleiades,39.5,40.5,uncertain (another good variant exists),874350,,,,,
3132,HD001339/2,HD001339,Corinthus,Corinthus,570182,"['Corinthus', 'Korinthos']",37.90632916,22.88084139,Corinthus/Korinthos,Y,,,Pleiades,,,certain,,,,,,
3203,HD001389/1,HD001389,natus* Athenis*,Athenis,579885,,37.9724536,23.72626822,Athenae,,,,Pleiades,,,uncertain (another good variant exists),,,,,,
3235,HD001404/1,HD001404,Clunia+,Clunia,187350,['Clunia'],47.260687,9.617966,Clunia,Y,,,Pleiades,,,certain,,,,,,
3322,HD001465/1,HD001465,Parma+,Parma,383737,['Parma'],44.801507,10.327967,Parma,Y,,,Pleiades,,,certain,,,,,,
3458,HD001533/1,HD001533,Iguvio,Iguvio,413174,,43.355464,12.573438,Iguvium,,,,Pleiades,,,certain,,,,,,
3461,HD001536/1,HD001536,Ara,Ara,981506,,27.5,32.5,Arabia (Province),,,A guess ,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
3468,HD001539/1,HD001539,Cemeneli,Cemeneli,157834,,43.7194725,7.2758295,Cemenelum,,,,Pleiades,,,certain,,,,,,
3483,HD001548/1,HD001548,Pollentia,Pollentia,266004,['Pollentia'],39.84859314,3.123058901,Pollentia,Y,,,Pleiades,,,certain,,,,,,
3488,HD001551/1,HD001551,Bononia,Bononia,393421,"['Felsina', 'Bononia']",44.4945737,11.3455467,Felsina/Bononia,Y,,,Pleiades,,,certain,,,,,,
3495,HD001554/1,HD001554,Tolosa,Tolosa,246694,['Tolosa'],43.604175,1.443246,Tolosa,Y,,,Pleiades,,,certain,,,,,,
3499,HD001557/1,HD001557,Aenona,Aenona,197094,['Aenona'],44.2435845,15.1847195,Aenona,Y,,,Pleiades,,,certain,,,,,,
3503,HD001560/1,HD001560,Albintimilium,Albintimilium,157802,"['Albium Intimilium', 'Albintimilium']",43.789146,7.625772,Alb(i)um Intimilium/Albintimilium,Y,,,Pleiades,,,certain,,,,,,
3509,HD001563/1,HD001563,Complutum,Complutum,246352,['Complutum'],40.4739,-3.3842,Complutum,Y,,,Pleiades,,,certain,,,,,,
3514,HD001566/1,HD001566,Mantua,Mantua,383704,['Mantua'],45.160646,10.7976015,Mantua,Y,,,Pleiades,,,certain,,,,,,
3521,HD001569/1,HD001569,Brixia,Brixia,383603,['Brixia'],45.539773,10.223135,Brixia,Y,,,Pleiades,,,certain,,,,,,
3528,HD001572/1,HD001572,Siscia,Siscia,197504,"['Segestica', 'Siscia']",45.483168,16.371388,Segestica/Siscia,Y,,,Pleiades,,,certain,,,,,,
3557,HD001584/1,HD001584,Reiis,Reiis,157805,,43.818614,6.090718,Alebaece Reiorum Apollinarium/Apollinaris Reiorum/Reii,,,,Pleiades,,,certain,,,,,,
3565,HD001587/1,HD001587,Vasione,Vasione,148228,,44.24136523,5.07370635,Vasio,,,,Pleiades,,,certain,,,,,,
3572,HD001590/1,HD001590,Ancona+,Ancona,413014,['Ancona'],43.61899267,13.51607267,Ancon(a),Y,,,Pleiades,,,certain,,,,,,
3591,HD001600/1,HD001600,Tyrius,Tyrius,271078,['Tyrius'],,,Tyrius,,,,Pleiades,,,certain,,,,,,
3642,HD001621/1,HD001621,Savaria+?,Savaria,197498,['Savaria'],47.235142,16.62192,Savaria,Y,,,Pleiades,,,certain,,,,,,
3644,HD001622/1,HD001622,civis Aeduae,Aeduae,177533,,46.7677671,4.264672086,(H)Aedui,,,,Pleiades,,,certain,,,,,,
