,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title
22676,HD022305/1,HD022305,Verona*,Verona,383816.0,['Verona'],45.4421295463,10.9957360051,Verona
22745,HD022352/1,HD022352,cives (= civis) Helvetius*,Helvetius,,,,,
22750,HD022356/1,HD022356,domo* Dalmata+*,Dalmata,,,,,
22772,HD022377/1,HD022377,domo [---],[---],,,,,
22875,HD022626/1,HD022626,Viruno*,Viruno,,,,,
22878,HD022629/1,HD022629,Thyatirenus,Thyatirenus,,,,,
22880,HD022629/3,HD022629,Thyatirenus*,Thyatirenus,,,,,
22882,HD022632/2,HD022632,Perburidavensis qui et Buricodavensis*,Perburidavensis qui et Buricodavensis,,,,,
22888,HD022647/1,HD022647,Genua,Genua,383664.0,['Genua'],44.4062315,8.93155,Genua
22913,HD022722/1,HD022722,natione* Macedo,Macedo,,,,,
22941,HD022784/1,HD022784,Θηβαῖοι,Θηβαῖοι,,,,,
22942,HD022784/2,HD022784,Θηβαῖοι,Θηβαῖοι,,,,,
22956,HD022808/1,HD022808,domo Suessa,Suessa,,,,,
22958,HD022811/1,HD022811,domo Foro Corneli,Foro Corneli,,,,,
23046,HD022974/1,HD022974,natione Aravisscam (= Araviscam),Araviscam,,,,,
23110,HD023029/1,HD023029,Patriciensis,Patriciensis,,,,,
23111,HD023029/2,HD023029,Patriciensis domo Sucaeloni,Patriciensis Sucaeloni,,,,,
23129,HD023081/1,HD023081,Dinia,Dinia,157843.0,['Dinia'],44.090921,6.231425,Dinia
23131,HD023084/1,HD023084,Thessalonice*,Thessalonice,,,,,
23134,HD023087/1,HD023087,Camuloduni,Camuloduni,,,,,
23136,HD023090/1,HD023090,Cremona,Cremona,383628.0,['Cremona'],45.133639,10.026149,Cremona
23146,HD023093/1,HD023093,Philadelphia*,Philadelphia,,,,,
23150,HD023096/1,HD023096,Augusta*,Augusta,648577.0,"['Augusta', 'Augustopolis', '[Thebae]']",37.245212,35.344087,Augusta/Augustopolis/[Thebae]?
23161,HD023141/1,HD023141,Mediomatricus+*,Mediomatricus,,,,,
23176,HD023171/1,HD023171,natione* Dalmata,Dalmata,,,,,
23179,HD023171/4,HD023171,natione* Daca,Daca,,,,,
23204,HD023218/1,HD023218,Nicomedia*,Nicomedia,511337.0,['Nicomedia'],40.7651905,29.919887,Nicomedia
23206,HD023218/3,HD023218,Nicomedia*,Nicomedia,511337.0,['Nicomedia'],40.7651905,29.919887,Nicomedia
23216,HD023233/1,HD023233,Moecia Pelagonia*,Moecia Pelagonia,,,,,
23230,HD023253/1,HD023253,Scythopoli*,Scythopoli,,,,,
23293,HD023339/1,HD023339,domo Cremona,Cremona,383628.0,['Cremona'],45.133639,10.026149,Cremona
23327,HD023445/1,HD023445,Antiochia*,Antiochia,912872.0,"['Jebel Khayabir', 'Alexandria', 'Antiochia', 'Spasinou Charax', 'Karkh Maisan', '[Astarabad Ardashir]']",30.719479,47.561886,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?
23328,HD023446/1,HD023446,Tergeste*,Tergeste,187578.0,['Tergeste'],45.649148,13.7717,Tergeste
23334,HD023463/1,HD023463,Praeneste*,Praeneste,423013.0,['Praeneste'],41.8394835,12.8923075,Praeneste
23377,HD023516/1,HD023516,Urvini,Urvini,,,,,
23400,HD023562/1,HD023562,domo Mursa*,Mursa,197389.0,['Mursa'],45.560018,18.675749,Mursa
23468,HD023597/1,HD023597,ex Syria* Antiochia+*,Syria Antiochia,,,,,
23479,HD023612/1,HD023612,Mediomatricus*,Mediomatricus,,,,,
23527,HD023679/1,HD023679,domo* Claudia* Viruni,Claudia Viruni,,,,,
23530,HD023694/1,HD023694,Como,Como,,,,,
23550,HD023806/1,HD023806,Iuvavo+*,Iuvavo,,,,,
23554,HD023816/1,HD023816,Vicetia*,Vicetia,393513.0,['Vicetia'],45.545773,11.540277,Vicetia
23555,HD023819/1,HD023819,natione Graeco* Mylasei,Graeco Mylasei,,,,,
23556,HD023819/2,HD023819,natione Alexandrinus,Alandrinus,,,,,
23568,HD023829/1,HD023829,domo+ Salona,Salona,197488.0,['Salona'],43.539561,16.483426,Salona
23570,HD023831/1,HD023831,Eporedia,Eporedia,383642.0,['Eporedia'],45.466604,7.875942,Eporedia
23607,HD023879/4,HD023879,Ἐφέσιος,Ἐφέσιος,,,,,
23626,HD023919/1,HD023919,domo* Bessus!,Bessus,,,,,
23691,HD024002/1,HD024002,Como,Como,,,,,
23769,HD024100/1,HD024100,Tunger,Tunger,,,,,
23780,HD024110/1,HD024110,Urcitanus+,Urcitanus,,,,,
23784,HD024113/1,HD024113,Onubensis,Onubensis,,,,,
24006,HD024322/1,HD024322,civis Armeniacae*,Armeniacae,,,,,
24070,HD024409/1,HD024409,civis* Trever*,Trever,,,,,
24124,HD024463/1,HD024463,natione Ubius,Ubius,,,,,
24134,HD024476/1,HD024476,Otobesanus+,Otobesanus,,,,,
24165,HD024516/1,HD024516,Celeia,Celeia,197206.0,['Celeia'],46.219721,15.27184,Celeia
24234,HD024601/1,HD024601,Reiis*,Reiis,,,,,
24238,HD024604/1,HD024604,Apta,Apta,,,,,
24242,HD024607/1,HD024607,Augusta*,Augusta,648577.0,"['Augusta', 'Augustopolis', '[Thebae]']",37.245212,35.344087,Augusta/Augustopolis/[Thebae]?
24248,HD024610/1,HD024610,Tolosa*,Tolosa,246694.0,['Tolosa'],43.604175,1.443246,Tolosa
24253,HD024613/1,HD024613,Tuccis*,Tuccis,,,,,
24259,HD024616/1,HD024616,Alba,Alba,246153.0,['Alba'],42.856039,-2.290949,Alba
24264,HD024619/1,HD024619,Aquis,Aquis,,,,,
24270,HD024622/1,HD024622,Aquis,Aquis,,,,,
24277,HD024628/1,HD024628,domo* Dinace,Dinace,,,,,
24281,HD024631/1,HD024631,Vienna*,Vienna,,,,,
24286,HD024634/1,HD024634,Luco,Luco,,,,,
24289,HD024637/1,HD024637,Firmo*,Firmo,,,,,
24293,HD024640/1,HD024640,Alba,Alba,246153.0,['Alba'],42.856039,-2.290949,Alba
24300,HD024646/1,HD024646,domo Verona,Verona,383816.0,['Verona'],45.4421295463,10.9957360051,Verona
24313,HD024652/1,HD024652,Lugiduno* (= Lugduno),Lugduno,,,,,
24317,HD024655/1,HD024655,Opitergio*,Opitergio,,,,,
24322,HD024658/1,HD024658,domo* Faventia*,Faventia,393420.0,['Faventia'],44.286236,11.883507,Faventia
24327,HD024661/1,HD024661,Antiochia,Antiochia,912872.0,"['Jebel Khayabir', 'Alexandria', 'Antiochia', 'Spasinou Charax', 'Karkh Maisan', '[Astarabad Ardashir]']",30.719479,47.561886,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?
24330,HD024664/1,HD024664,Cyrrho*,Cyrrho,,,,,
24332,HD024667/1,HD024667,Chalcide*,Chalcide,,,,,
24336,HD024670/1,HD024670,Beryto*,Beryto,,,,,
24338,HD024673/1,HD024673,Cyrrho*,Cyrrho,,,,,
24342,HD024675/1,HD024675,cives Sueba Nicreti (= Nicrensis),Sueba Nicrensis,,,,,
24343,HD024676/1,HD024676,Ara Ubiorum,Ara Ubiorum,108751.0,"['Ara Ubiorum', 'Col. Claudia Ara Agrippinensium']",50.940662,6.9599065,Ara Ubiorum/Col. Claudia Ara Agrippinensium
24351,HD024679/1,HD024679,domo* Apris,Apris,,,,,
24357,HD024682/1,HD024682,Savaria*,Savaria,197498.0,['Savaria'],47.235142,16.62192,Savaria
24360,HD024685/1,HD024685,Vienna*,Vienna,,,,,
24364,HD024688/1,HD024688,domo Aqui(---),Aqui(---),,,,,
24373,HD024693/1,HD024693,ex Pannonia* superiore*,Pannonia superiore,,,,,
24374,HD024693/2,HD024693,ex Pannonia* superiore*,Pannonia superiore,,,,,
24375,HD024694/1,HD024694,domo* Claudia* Savaria*,Claudia Savaria,,,,,
24380,HD024697/1,HD024697,natione Dacus,Dacus,,,,,
24399,HD024709/1,HD024709,domo Hieropoli* (= Hierapoli*?),Hierapoli,,,,,
24402,HD024710/1,HD024710,Edeta,Edeta,265887.0,"['Edeta', 'Leiria']",39.624587,-0.594758,Edeta/Leiria
24406,HD024713/1,HD024713,Damanitana,Damanitana,,,,,
24410,HD024715/1,HD024715,domo Claudia* Viruno*,Claudia Viruno,,,,,
24419,HD024718/1,HD024718,Traiana*,Traiana,416871.0,['Traiana'],43.25,13.25,Traiana
24423,HD024721/1,HD024721,Aquis*?,Aquis,,,,,
24485,HD024757/2,HD024757,Thisbeus,Thisbeus,,,,,
24503,HD024768/1,HD024768,Sequanus,Sequanus,,,,,
24592,HD024834/1,HD024834,Mursa,Mursa,197389.0,['Mursa'],45.560018,18.675749,Mursa
24593,HD024837/1,HD024837,Verona*,Verona,383816.0,['Verona'],45.4421295463,10.9957360051,Verona
24632,HD024870/1,HD024870,domo* Africa,Africa,775.0,['Africa'],32.5,7.5,Africa (region)
24645,HD024880/4,HD024880,ex provincia Asia civitate Efisianorum (= Ephesianorum),provincia Asia tate Ephesianorum,,,,,
24791,HD024957/1,HD024957,Trachenti* origine civitate+ Lasseorum+*?,Trachenti origine tate Lasseorum,,,,,
24812,HD024969/7,HD024969,Berensis*?,Berensis,,,,,
24895,HD025065/1,HD025065,natione Pannonius domo Sirmi,Pannonius Sirmi,,,,,
24901,HD025071/1,HD025071,natione* Germanus*,Germanus,,,,,
25010,HD025152/1,HD025152,Oesci*,Oesci,,,,,
25013,HD025155/1,HD025155,Ancyra,Ancyra,619103.0,['Ancyra'],39.9437925,32.859333,Ancyra
25068,HD025193/1,HD025193,Ilubariensia,Ilubariensia,,,,,
25128,HD025250/1,HD025250,Edetana+,Edetana,,,,,
25131,HD025253/2,HD025253,Se[---],Se[---],,,,,
25141,HD025269/1,HD025269,Tiano Sidicinorum*,Tiano Sidicinorum,,,,,
25193,HD025320/1,HD025320,cives (= civis) Tribocus,Tribocus,,,,,
25242,HD025384/1,HD025384,Savariensis*,Savariensis,,,,,
25320,HD025474/5,HD025474,Μιλήσιος,Μιλήσιος,,,,,
25384,HD025558/1,HD025558,Equester,Equester,,,,,
25443,HD025596/1,HD025596,cives (= civis) Noricus,Noricus,,,,,
25584,HD025747/1,HD025747,natione* Ubius,Ubius,,,,,
25599,HD025760/2,HD025760,Dobero*,Dobero,,,,,
25610,HD025772/2,HD025772,Viruno*,Viruno,,,,,
25706,HD025860/6,HD025860,Cui(---) Nas(---) Uzitensis,Cui(---) Nas(---) Uzitensis,,,,,
25708,HD025860/8,HD025860,Cynasyn(---),Cynasyn(---),,,,,
25709,HD025860/9,HD025860,Cynasyn(---),Cynasyn(---),,,,,
25710,HD025860/10,HD025860,Cynasyn(---),Cynasyn(---),,,,,
25746,HD025909/1,HD025909,Pollentia*,Pollentia,266004.0,['Pollentia'],39.8485931402,3.12305890133,Pollentia
25751,HD025912/1,HD025912,domo* Berea,Berea,,,,,
25755,HD025915/1,HD025915,Altino,Altino,,,,,
25867,HD026026/5,HD026026,civis Surus,Surus,,,,,
25877,HD026032/1,HD026032,Byllidensis+,Byllidensis,,,,,
26042,HD026200/1,HD026200,Ateste*,Ateste,393382.0,['Ateste'],45.227738,11.656616,Ateste
26138,HD026324/1,HD026324,Singiliensis* Barbensis+,Singiliensis Barbensis,,,,,
26140,HD026329/1,HD026329,domo Pisis,Pisis,,,,,
26170,HD026378/1,HD026378,domu Narbone+?,Narbone,,,,,
26188,HD026402/1,HD026402,Otobesanus+,Otobesanus,,,,,
26208,HD026425/1,HD026425,domo* Camilia* Ravenna,Camilia Ravenna,,,,,
26231,HD026447/1,HD026447,Graecus*,Graecus,,,,,
26608,HD026814/1,HD026814,Fano* Fortunae*,Fano Fortunae,,,,,
26615,HD026817/1,HD026817,domo Crustumiae Arniae ex Thuscia,Crustumiae Arniae Thuscia,,,,,
26684,HD026861/1,HD026861,natione* Cursicanus*,Cursicanus,,,,,
26824,HD026983/1,HD026983,Sirmio*,Sirmio,383781.0,['Sirmio'],45.492485,10.60805,Sirmio
27025,HD027186/1,HD027186,Baeterris*,Baeterris,,,,,
27029,HD027189/1,HD027189,Mediolano*,Mediolano,,,,,
27031,HD027192/1,HD027192,natione* Trevir*,Trevir,,,,,
27032,HD027192/2,HD027192,natione* Trevir*,Trevir,,,,,
27033,HD027192/3,HD027192,natione* Trevir*,Trevir,,,,,
27066,HD027216/1,HD027216,domo+ Maezaeus,Maezaeus,,,,,
27077,HD027219/2,HD027219,natione Pannonia,Pannonia,197425.0,['Pannonia'],45.7490406431,16.6030583846,Pannonia
27078,HD027220/1,HD027220,Beryto*,Beryto,,,,,
27080,HD027223/1,HD027223,Emona+?,Emona,197258.0,['Emona'],46.051425,14.505963,Emona
27085,HD027229/1,HD027229,Mediolano+,Mediolano,,,,,
27206,HD027388/2,HD027388,Beeoso! villa* Lopeti,Beeoso villa Lopeti,,,,,
27236,HD027418/1,HD027418,Celeia*,Celeia,197206.0,['Celeia'],46.219721,15.27184,Celeia
27261,HD027445/1,HD027445,domo* Parma,Parma,383737.0,['Parma'],44.801507,10.327967,Parma
27284,HD027456/1,HD027456,natione* Dansala,Dansala,,,,,
27335,HD027509/1,HD027509,Tracia (= Thracia),Thracia,501638.0,['Thracia'],41.5178303653,26.9624137954,Thracia
27350,HD027527/1,HD027527,Ossigitana,Ossigitana,,,,,
27419,HD027636/1,HD027636,domo Parma,Parma,383737.0,['Parma'],44.801507,10.327967,Parma
27451,HD027713/1,HD027713,Obulconensis,Obulconensis,,,,,
27495,HD027762/1,HD027762,natione* Tunger*,Tunger,,,,,
27503,HD027771/1,HD027771,Cremona*,Cremona,383628.0,['Cremona'],45.133639,10.026149,Cremona
27522,HD027800/4,HD027800,Cibalis,Cibalis,,,,,
27525,HD027805/1,HD027805,Cubalensis*,Cubalensis,,,,,
27526,HD027805/2,HD027805,Cubalensis*,Cubalensis,,,,,
27527,HD027805/3,HD027805,Cubalensis*,Cubalensis,,,,,
27528,HD027805/4,HD027805,Narbonensis*,Narbonensis,148141.0,['Narbonensis'],44.1116492349,4.67666937391,Narbonensis (region)
27529,HD027805/5,HD027805,Hisspanus* (= Hispanus*),Hispanus,,,,,
27590,HD027859/1,HD027859,domo* Reginensis,Reginensis,,,,,
27602,HD027878/1,HD027878,Consaburensis,Consaburensis,,,,,
27686,HD028007/1,HD028007,Aurgitanus*,Aurgitanus,,,,,
27687,HD028008/1,HD028008,natione* Dacus,Dacus,,,,,
27690,HD028011/1,HD028011,domo* Brixello*,Brixello,,,,,
27700,HD028033/1,HD028033,domo* Fabia+ Brixia+,Fabia Brixia,,,,,
27714,HD028040/1,HD028040,Igabrensis*,Igabrensis,,,,,
27784,HD028132/1,HD028132,Siccaenas,Siccaenas,,,,,
27794,HD028151/2,HD028151,Lacipponensis*,Lacipponensis,,,,,
27814,HD028171/1,HD028171,Cremona*,Cremona,383628.0,['Cremona'],45.133639,10.026149,Cremona
27818,HD028174/1,HD028174,Arimini*,Arimini,,,,,
27824,HD028177/1,HD028177,domo* Benevento,Benevento,,,,,
27833,HD028183/1,HD028183,domo* Berea,Berea,,,,,
27858,HD028211/1,HD028211,Aquiflaviens*,Aquiflaviens,,,,,
27898,HD028241/1,HD028241,Patriciensis+*,Patriciensis,,,,,
27906,HD028247/4,HD028247,Celtitanus*,Celtitanus,,,,,
27907,HD028250/1,HD028250,Seriensius,Seriensius,,,,,
27931,HD028274/1,HD028274,Patriciensis,Patriciensis,,,,,
27950,HD028317/1,HD028317,domo* Haeduus*,Haeduus,,,,,
27955,HD028320/1,HD028320,Troada*,Troada,,,,,
27962,HD028323/1,HD028323,Epheso,Epheso,,,,,
28031,HD028366/1,HD028366,domo Brixiae!,Brixiae,,,,,
28055,HD028391/1,HD028391,natione* Syrus,Syrus,,,,,
28057,HD028394/1,HD028394,natione* [---],[---],,,,,
28060,HD028397/1,HD028397,natione+* [---],[---],,,,,
28066,HD028400/1,HD028400,natione* [---],[---],,,,,
28069,HD028403/1,HD028403,Asidonensis,Asidonensis,,,,,
28092,HD028436/1,HD028436,Obulconensis,Obulconensis,,,,,
28093,HD028439/1,HD028439,Eporensis+,Eporensis,,,,,
28094,HD028442/1,HD028442,Asidonensis*,Asidonensis,,,,,
28099,HD028448/1,HD028448,Patriciensis,Patriciensis,,,,,
28100,HD028451/1,HD028451,Baxonensis,Baxonensis,,,,,
28101,HD028454/1,HD028454,Patriciensis*,Patriciensis,,,,,
28102,HD028457/1,HD028457,natione Ta[---],Ta[---],,,,,
28118,HD028486/1,HD028486,Palmyra,Palmyra,668331.0,['Palmyra'],34.5513074988,38.2670722465,Palmyra
28146,HD028516/1,HD028516,Aquileia*,Aquileia,187290.0,['Aquileia'],45.768945,13.3677735,Aquileia
28147,HD028516/2,HD028516,Aquileia*,Aquileia,187290.0,['Aquileia'],45.768945,13.3677735,Aquileia
28151,HD028519/1,HD028519,Cremona,Cremona,383628.0,['Cremona'],45.133639,10.026149,Cremona
28156,HD028525/1,HD028525,Sirmio*,Sirmio,383781.0,['Sirmio'],45.492485,10.60805,Sirmio
28166,HD028531/1,HD028531,natione* Ermundurus+*,Ermundurus,,,,,
28169,HD028534/1,HD028534,Foro* Iuli,Foro Iuli,,,,,
28178,HD028537/1,HD028537,Bononia*,Bononia,393421.0,"['Felsina', 'Bononia']",44.4945737,11.3455467,Felsina/Bononia
28185,HD028540/1,HD028540,Epiphania,Epiphania,,,,,
28214,HD028569/1,HD028569,Firmo Piceno*,Firmo Piceno,,,,,
28361,HD028745/1,HD028745,Patriciensis*,Patriciensis,,,,,
28463,HD028849/1,HD028849,natus* Fabia Anquira (= Ancyra),Fabia Ancyra,,,,,
28609,HD029023/1,HD029023,Patriciensis*,Patriciensis,,,,,
28619,HD029026/1,HD029026,Accitana,Accitana,,,,,
28623,HD029029/1,HD029029,Tuccitana*,Tuccitana,,,,,
28727,HD029175/1,HD029175,Mediolano*,Mediolano,,,,,
28728,HD029176/1,HD029176,Mentesana+?,Mentesana,,,,,
28730,HD029178/1,HD029178,Savaria*,Savaria,197498.0,['Savaria'],47.235142,16.62192,Savaria
28734,HD029182/1,HD029182,Andurensis,Andurensis,,,,,
28736,HD029185/1,HD029185,Obulconensis+,Obulconensis,,,,,
28750,HD029211/1,HD029211,Ipolcobulculensis,Ipolcobulculensis,,,,,
28754,HD029217/1,HD029217,Uxamensis*,Uxamensis,,,,,
28859,HD029370/1,HD029370,Devas (?),Devas (),,,,,
28860,HD029371/1,HD029371,Romana,Romana,,,,,
28876,HD029407/1,HD029407,Tuccitanus+,Tuccitanus,,,,,
28878,HD029410/1,HD029410,Vcc[---],Vcc[---],,,,,
28880,HD029413/1,HD029413,Aiungitana,Aiungitana,,,,,
28887,HD029425/1,HD029425,Lunensis,Lunensis,,,,,
28898,HD029437/1,HD029437,Sosontigitana+,Sosontigitana,,,,,
28911,HD029461/1,HD029461,Iliturgicolensis,Iliturgicolensis,,,,,
28919,HD029467/1,HD029467,Agilensis*,Agilensis,,,,,
28940,HD029491/4,HD029491,Ipolcobulculensis* Apueaclesis? incola,Ipolcobulculensis Apueaclesis incola,,,,,
28959,HD029501/1,HD029501,Aurgitanus*,Aurgitanus,,,,,
28978,HD029506/1,HD029506,Ilurconensis*,Ilurconensis,,,,,
28982,HD029509/1,HD029509,Est[--]edunensis,Est[--]edunensis,,,,,
28991,HD029518/3,HD029518,Patriciensis,Patriciensis,,,,,
28992,HD029518/4,HD029518,Patriciensis,Patriciensis,,,,,
28994,HD029521/1,HD029521,Iponubensis,Iponubensis,,,,,
28999,HD029527/1,HD029527,Patriciensis+,Patriciensis,,,,,
29008,HD029539/1,HD029539,Agulensis*?,Agulensis,,,,,
29010,HD029542/1,HD029542,Ipolcobulclensis,Ipolcobulclensis,,,,,
29012,HD029545/1,HD029545,Ipolcobulculensis*,Ipolcobulculensis,,,,,
29033,HD029573/1,HD029573,Aurgitanus*,Aurgitanus,,,,,
29034,HD029575/1,HD029575,Cisimbrensis,Cisimbrensis,,,,,
29036,HD029576/1,HD029576,incola Aurgitanus,incola Aurgitanus,,,,,
29062,HD029605/1,HD029605,Ucc(---),Ucc(---),,,,,
29079,HD029627/1,HD029627,Patriciensis*,Patriciensis,,,,,
29085,HD029634/1,HD029634,Pisauro,Pisauro,,,,,
29087,HD029637/1,HD029637,Apta,Apta,,,,,
29089,HD029640/1,HD029640,Parma+,Parma,383737.0,['Parma'],44.801507,10.327967,Parma
29100,HD029653/1,HD029653,Patriciensis+?,Patriciensis,,,,,
29103,HD029657/1,HD029657,Mirobrigensis+*,Mirobrigensis,,,,,
29105,HD029660/1,HD029660,Mirobrigensis*,Mirobrigensis,,,,,
29108,HD029663/1,HD029663,Mirobrigenus,Mirobrigenus,,,,,
29161,HD029709/1,HD029709,ex [---] Carthaginiensi*,[---] Carthaginiensi,,,,,
29164,HD029712/1,HD029712,Heraclea*,Heraclea,844944.0,['Heraclea'],41.2832553333,31.4174136667,Heraclea
29227,HD029759/1,HD029759,[---]ensis,[---]ensis,,,,,
29230,HD029762/1,HD029762,Arsensis,Arsensis,,,,,
29255,HD029779/1,HD029779,Claritate* Iulia+,Claritate Iulia,,,,,
29279,HD029805/1,HD029805,Eburoduni,Eburoduni,,,,,
29286,HD029813/1,HD029813,Emeritensis,Emeritensis,,,,,
29317,HD029839/1,HD029839,Ipolcobulculensis*,Ipolcobulculensis,,,,,
29346,HD029856/1,HD029856,domo* Arethusa+,Arethusa,,,,,
29395,HD029876/1,HD029876,Aurgitanus*,Aurgitanus,,,,,
29396,HD029877/1,HD029877,Surus*,Surus,,,,,
29409,HD029885/1,HD029885,Victor(---),Victor(---),,,,,
29421,HD029894/1,HD029894,Turi(---),Turi(---),,,,,
29424,HD029897/1,HD029897,Turi[---],Turi[---],,,,,
29431,HD029903/1,HD029903,Emeritensis,Emeritensis,,,,,
29456,HD029915/1,HD029915,Vict(---),Vict(---),,,,,
29457,HD029915/2,HD029915,Vict(---),Vict(---),,,,,
29470,HD029928/1,HD029928,ortus in provincia Dardania regione* Ulpianensis* [---] Dasantis*?,ortus in provincia Dardania Ulpianensis [---] Dasantis,,,,,
29490,HD029939/1,HD029939,Emeritensis,Emeritensis,,,,,
29496,HD029942/1,HD029942,Arsensis*,Arsensis,,,,,
29523,HD029968/1,HD029968,Ateguensis+*,Ateguensis,,,,,
29554,HD030002/1,HD030002,Reginensis+,Reginensis,,,,,
29555,HD030002/2,HD030002,Reginensis*,Reginensis,,,,,
29593,HD030033/1,HD030033,natione+* Noricus+,Noricus,,,,,
29629,HD030071/1,HD030071,Aurgitanus*,Aurgitanus,,,,,
29630,HD030071/2,HD030071,Aurgitanus*,Aurgitanus,,,,,
29752,HD030210/1,HD030210,Traianensis*,Traianensis,,,,,
29844,HD030346/1,HD030346,Maluginensis+,Maluginensis,,,,,
29845,HD030347/1,HD030347,Ipagrensis,Ipagrensis,,,,,
29864,HD030362/1,HD030362,Ipagrensis,Ipagrensis,,,,,
29865,HD030362/2,HD030362,Ipagrensis,Ipagrensis,,,,,
29894,HD030383/1,HD030383,Pontuficiensis,Pontuficiensis,,,,,
30093,HD030542/1,HD030542,Iliberritanus*,Iliberritanus,,,,,
30170,HD030614/1,HD030614,Ilurconensis,Ilurconensis,,,,,
30175,HD030617/1,HD030617,Ilurconenesis,Ilurconenesis,,,,,
30214,HD030651/1,HD030651,Antipoli+,Antipoli+,,,,,
30236,HD030668/1,HD030668,Nescaniensis,Nescaniensis,,,,,
30240,HD030671/1,HD030671,Nescaniensis*,Nescaniensis,,,,,
30286,HD030696/1,HD030696,domo Mauritania* (= Mauretania*),Mauretania,305106.0,['Mauretania'],36.4584637876,5.20885518116,Mauretania
30335,HD030737/1,HD030737,Saborensis+,Saborensis,,,,,
30339,HD030740/1,HD030740,[---]ulensis,[---]ulensis,,,,,
30342,HD030742/3,HD030742,civis+*? municipii* Andautoniensium*,municipii Andautoniensium,,,,,
30466,HD030827/1,HD030827,Italicensis+,Italicensis,,,,,
30469,HD030830/1,HD030830,Astigitanus*,Astigitanus,,,,,
30475,HD030833/1,HD030833,Singiliensis+,Singiliensis,,,,,
30488,HD030839/1,HD030839,Ventipponensis*,Ventipponensis,,,,,
30489,HD030839/2,HD030839,Ventipponensia*,Ventipponensia,,,,,
30537,HD030878/1,HD030878,Olauro*,Olauro,,,,,
30542,HD030881/1,HD030881,Olaurensis+,Olaurensis,,,,,
30546,HD030884/1,HD030884,Olaurensis*,Olaurensis,,,,,
30548,HD030887/1,HD030887,Ostipponensis*,Ostipponensis,,,,,
30552,HD030890/1,HD030890,Olaurensis,Olaurensis,,,,,
30595,HD030917/1,HD030917,Sexsitanus,Ssitanus,,,,,
30604,HD030920/1,HD030920,Caleculensis,Caleculensis,,,,,
30615,HD030929/1,HD030929,Ilurconensis*,Ilurconensis,,,,,
30626,HD030941/1,HD030941,[---]nensis,[---]nensis,,,,,
30646,HD030956/1,HD030956,Baxonensis*?,Baxonensis,,,,,
30670,HD030977/1,HD030977,Obulconensis+,Obulconensis,,,,,
30678,HD030983/1,HD030983,Ulisitanus+,Ulisitanus,,,,,
30680,HD030986/1,HD030986,Antikariensis* (= Anticariensis*),Anticariensis,,,,,
30684,HD030989/1,HD030989,Ulisitanus,Ulisitanus,,,,,
30686,HD030992/1,HD030992,Ulisitanus,Ulisitanus,,,,,
30698,HD031007/1,HD031007,Antikariensis* (= Anticariensis*),Anticariensis,,,,,
30702,HD031010/1,HD031010,Aratispitanus,Aratispitanus,,,,,
30724,HD031013/1,HD031013,Aratispitanus,Aratispitanus,,,,,
30728,HD031016/1,HD031016,Antikariensis* (= Anticariensis*),Anticariensis,,,,,
30731,HD031019/1,HD031019,Osquensis*,Osquensis,,,,,
30734,HD031022/1,HD031022,Patriciensis+?,Patriciensis,,,,,
30802,HD031082/1,HD031082,Singiliensis*,Singiliensis,,,,,
30811,HD031091/2,HD031091,Singiliensis*,Singiliensis,,,,,
30818,HD031097/1,HD031097,Singiliensis* Barbensis*,Singiliensis Barbensis,,,,,
30841,HD031121/1,HD031121,Singiliensis* vetus,Singiliensis vetus,,,,,
30844,HD031124/1,HD031124,Singiliensis* Barbiensis*,Singiliensis Barbiensis,,,,,
30848,HD031127/1,HD031127,Singiliensis* Barbensis*,Singiliensis Barbensis,,,,,
30851,HD031129/2,HD031129,Alba Pompeia,Alba Pompeia,383564.0,['Alba Pompeia'],44.700835,8.035244,Alba Pompeia
30852,HD031130/1,HD031130,Singiliensis,Singiliensis,,,,,
30857,HD031133/1,HD031133,Singiliensis,Singiliensis,,,,,
30871,HD031142/1,HD031142,Singiliensis* Barbensis*,Singiliensis Barbensis,,,,,
30874,HD031145/1,HD031145,Singiliensis* Barbensis*,Singiliensis Barbensis,,,,,
30881,HD031148/1,HD031148,Singiliensis*,Singiliensis,,,,,
30889,HD031154/1,HD031154,Singiliensis*,Singiliensis,,,,,
30937,HD031198/3,HD031198,Alba+ Pompeia,Alba Pompeia,383564.0,['Alba Pompeia'],44.700835,8.035244,Alba Pompeia
30953,HD031216/3,HD031216,Roma,Roma,423025.0,['Roma'],41.891775,12.486137,Roma
30960,HD031223/1,HD031223,Singiliensis*,Singiliensis,,,,,
30976,HD031238/1,HD031238,Nescaniensis+,Nescaniensis,,,,,
30977,HD031238/2,HD031238,Nescaniensis*,Nescaniensis,,,,,
30982,HD031240/3,HD031240,Roma,Roma,423025.0,['Roma'],41.891775,12.486137,Roma
30983,HD031241/1,HD031241,Osquensis,Osquensis,,,,,
30988,HD031244/1,HD031244,Nescaniensis,Nescaniensis,,,,,
30989,HD031244/2,HD031244,Nescaniensis,Nescaniensis,,,,,
31021,HD031265/2,HD031265,Nescaniensis,Nescaniensis,,,,,
