,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title
3461,HD001536/1,HD001536,Ara,Ara,,,,,
3468,HD001539/1,HD001539,Cemeneli,Cemeneli,,,,,
3483,HD001548/1,HD001548,Pollentia,Pollentia,266004.0,['Pollentia'],39.8485931402,3.12305890133,Pollentia
3488,HD001551/1,HD001551,Bononia,Bononia,393421.0,"['Felsina', 'Bononia']",44.4945737,11.3455467,Felsina/Bononia
3495,HD001554/1,HD001554,Tolosa,Tolosa,246694.0,['Tolosa'],43.604175,1.443246,Tolosa
3499,HD001557/1,HD001557,Aenona,Aenona,197094.0,['Aenona'],44.2435845,15.1847195,Aenona
3503,HD001560/1,HD001560,Albintimilium,Albintimilium,157802.0,"['Albium Intimilium', 'Albintimilium']",43.789146,7.625772,Alb(i)um Intimilium/Albintimilium
3509,HD001563/1,HD001563,Complutum,Complutum,246352.0,['Complutum'],40.4739,-3.3842,Complutum
3514,HD001566/1,HD001566,Mantua,Mantua,383704.0,['Mantua'],45.160646,10.7976015,Mantua
3521,HD001569/1,HD001569,Brixia,Brixia,383603.0,['Brixia'],45.539773,10.223135,Brixia
3528,HD001572/1,HD001572,Siscia,Siscia,197504.0,"['Segestica', 'Siscia']",45.483168,16.371388,Segestica/Siscia
3557,HD001584/1,HD001584,Reiis,Reiis,,,,,
3565,HD001587/1,HD001587,Vasione,Vasione,,,,,
3572,HD001590/1,HD001590,Ancona+,Ancona,413014.0,['Ancona'],43.6189926667,13.5160726667,Ancon(a)
3591,HD001600/1,HD001600,Tyrius,Tyrius,271078.0,['Tyrius'],,,Tyrius
3642,HD001621/1,HD001621,Savaria+?,Savaria,197498.0,['Savaria'],47.235142,16.62192,Savaria
3644,HD001622/1,HD001622,civis Aeduae,Aeduae,,,,,
3700,HD001648/1,HD001648,civis Raetus*,Raetus,,,,,
3770,HD001677/1,HD001677,Bracarus+ castello+ Durbede,Bracarus castello Durbede,,,,,
3838,HD001705/1,HD001705,Celeia,Celeia,197206.0,['Celeia'],46.219721,15.27184,Celeia
3843,HD001707/1,HD001707,Mediolaniensis*,Mediolaniensis,,,,,
3885,HD001722/1,HD001722,Ticinum,Ticinum,383798.0,['Ticinum'],45.185899,9.156562,Ticinum
3893,HD001726/1,HD001726,Betifulum,Betifulum,438694.0,['Betifulum'],,,Betifulum
3919,HD001737/1,HD001737,Sirmio*,Sirmio,383781.0,['Sirmio'],45.492485,10.60805,Sirmio
4011,HD001766/1,HD001766,domo Claudia* Calebus*,Claudia Calebus,,,,,
4022,HD001770/1,HD001770,Curicum,Curicum,197235.0,['Curicum'],45.026156,14.573372,Curicum
