Column,origo_clean,id
314,NA,HD000179
315,NA,HD000180
316,NA,HD000181
317,NA,HD000182
318,NA,HD000182
319,NA,HD000183
320,NA,HD000184
321,NA,HD000184
322,NA,HD000185
323,NA,HD000186
324,NA,HD000186
325,NA,HD000187
326,NA,HD000187
327,NA,HD000188
328,NA,HD000189
329,NA,HD000190
330,NA,HD000190
331,NA,HD000190
332,NA,HD000191
333,Thracia,HD000192
334,NA,HD000192
335,NA,HD000192
336,NA,HD000192
337,NA,HD000193
338,NA,HD000193
339,NA,HD000194
340,NA,HD000195
341,NA,HD000195
342,NA,HD000196
343,NA,HD000196
344,Alandria,HD000197
345,NA,HD000197
346,NA,HD000197
347,NA,HD000198
348,NA,HD000199
349,NA,HD000200
350,NA,HD000201
351,NA,HD000202
352,NA,HD000203
353,NA,HD000203
354,NA,HD000204
355,NA,HD000205
356,NA,HD000205
357,NA,HD000206
358,NA,HD000206
359,NA,HD000206
360,NA,HD000207
361,NA,HD000208
362,NA,HD000209
363,NA,HD000209
364,NA,HD000209
365,NA,HD000210
366,NA,HD000211
367,NA,HD000211
368,NA,HD000211
369,NA,HD000211
370,NA,HD000211
371,NA,HD000212
372,NA,HD000212
373,NA,HD000213
374,NA,HD000213
375,NA,HD000213
376,NA,HD000214
377,NA,HD000215
378,NA,HD000215
379,NA,HD000215
380,NA,HD000216
381,NA,HD000217
382,NA,HD000217
383,NA,HD000218
384,NA,HD000218
385,NA,HD000218
386,NA,HD000218
387,NA,HD000218
388,NA,HD000218
389,NA,HD000218
390,NA,HD000218
391,NA,HD000218
392,NA,HD000218
393,NA,HD000218
394,NA,HD000218
395,NA,HD000218
396,NA,HD000218
397,NA,HD000218
398,NA,HD000218
399,NA,HD000218
400,NA,HD000219
401,NA,HD000219
402,NA,HD000219
403,NA,HD000220
404,NA,HD000220
405,NA,HD000220
406,NA,HD000220
407,NA,HD000221
408,NA,HD000221
409,NA,HD000223
410,NA,HD000223
411,Italia,HD000224
412,NA,HD000224
413,NA,HD000226
414,NA,HD000227
